fuente,serie,ano,valor,unidad,descargado
INE EEE Servicios (CNAE 6311),Maquinaria y utillaje,2020,929.0,miles EUR,2026-09-04
INE EEE Servicios (CNAE 6311),Maquinaria y utillaje,2021,5062.0,miles EUR,2026-09-04
INE EEE Servicios (CNAE 6311),Maquinaria y utillaje,2022,10655.0,miles EUR,2026-09-04
INE EEE Servicios (CNAE 6311),Maquinaria y utillaje,2023,9601.0,miles EUR,2026-09-04
INE EEE Servicios (CNAE 6311),Maquinaria y utillaje,2024,8488.0,miles EUR,2026-09-04
INE EEE Servicios (CNAE 6311),Terrenos y bienes naturales,2018,2550.0,miles EUR,2026-09-04
INE EEE Servicios (CNAE 6311),Terrenos y bienes naturales,2019,1584.0,miles EUR,2026-09-04
INE EEE Servicios (CNAE 6311),Terrenos y bienes naturales,2020,5569.0,miles EUR,2026-09-04
INE EEE Servicios (CNAE 6311),Terrenos y bienes naturales,2021,1143.0,miles EUR,2026-09-04
INE EEE Servicios (CNAE 6311),Terrenos y bienes naturales,2022,59869.0,miles EUR,2026-09-04
INE EEE Servicios (CNAE 6311),Terrenos y bienes naturales,2023,9781.0,miles EUR,2026-09-04
INE EEE Servicios (CNAE 6311),Terrenos y bienes naturales,2024,238319.0,miles EUR,2026-09-04
INE EEE Servicios (CNAE 6311),Total inversión,2018,74963.0,miles EUR,2026-09-04
INE EEE Servicios (CNAE 6311),Total inversión,2019,113259.0,miles EUR,2026-09-04
INE EEE Servicios (CNAE 6311),Total inversión,2020,192492.0,miles EUR,2026-09-04
INE EEE Servicios (CNAE 6311),Total inversión,2021,404321.0,miles EUR,2026-09-04
INE EEE Servicios (CNAE 6311),Total inversión,2022,423594.0,miles EUR,2026-09-04
INE EEE Servicios (CNAE 6311),Total inversión,2023,407704.0,miles EUR,2026-09-04
INE EEE Servicios (CNAE 6311),Total inversión,2024,1521269.0,miles EUR,2026-09-04
