id_proyecto,proyecto,grupo,promotor_razon_social,provincia,municipios,situacion,primer_tramite,ultimo_tramite,n_tramites,n_tramites_oficiales,fiabilidad_maxima,potencia_electrica_mw,potencia_informatica_mw,potencia_transformacion_mva,detalle_potencia,nudo_de_conexion,superficie_ha,superficie_construida_m2,inversion_expediente_meur,inversion_anunciada_meur,origen_inversion,pem_electrico_eur,ids_expedientes,doc_urbanistico,doc_ambiental,doc_electrico,doc_interes_autonomico,doc_municipal,doc_patrimonial,notas,potencia_demanda_mva,expedientes_enlazados
AR-P03-4,Desarrollos Ecoindustriales La Cartuja - Villanueva de Gállego,,"Desarrollos Ecoindustriales La Cartuja, SL",Zaragoza,Villanueva de Gállego,,2026-03-17,2026-03-17,1,1,OFICIAL,,,,,,,,,,,,ARF-93,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1440101010808,,,,,,Agrupacion de confianza baja: misma sociedad (denominacion); misma sociedad que un bloque ya revisado,,1
AR-P12-2,Desarrollos Ecoindustriales La Cartuja - Villanueva de Gállego,,"Desarrollos Ecoindustriales La Cartuja, SL",Zaragoza,Villanueva de Gállego,,2025-10-01,2025-10-01,1,1,OFICIAL,,,,,,,521000.0,,,,,ARF-40,,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1413456710909,,,,,Agrupacion de confianza baja: misma sociedad (denominacion),,1
MA-P02,"Digital DHF Iberia - Alcala de Henares, Alcalá de Henares",,"Digital DHF Iberia, SLU",Madrid,Alcalá de Henares,En tramitacion,2023,2025-03-11,3,3,OFICIAL,,,200.0,,de 3,7.84,3726.0,,,,,MA-03; MA-04; MA-31,https://www.comunidad.madrid/transparencia/sites/default/files/regulation/documents/23-041_resumen_ejecutivo.pdf,,https://www.comunidad.madrid/transparencia/2023p371-proyecto-instalacion-1-subestacion-electrica-denominada-cisneros-nabiax-alcala-henares,,,,Agrupacion de confianza media: misma sociedad (denominacion); 2 municipios. Transformacion leida del expediente: 2 x 100 MVA,,3
AR-P05-2,Expediente ARF-13,,,Huesca,Huesca,,2023-03-15,2023-03-15,1,1,OFICIAL,,,,,,,,,,,,ARF-13,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1266225461212,,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
AR-P17,Expediente ARF-61,,,Zaragoza,Villamayor de Gállego,,2026-07-07,2026-07-07,1,1,OFICIAL,,,,,,,,,,,,ARF-61,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1456145160707,,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
AR-P02-3,Expediente ARF-73,,,Huesca,Jaca,,2020-06-30,2020-06-30,1,1,OFICIAL,,,,,,,,,,,,ARF-73,,,,,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1120142583131,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
AR-P03-3,Expediente ARF-75,,,Zaragoza,Villanueva de Gállego,,2021-04-08,2021-04-08,1,1,OFICIAL,,,,,,,,,,,,ARF-75,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1158132621515,,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
AR-P06-3,Expediente ARF-83,,,Huesca,Jaca,,2025-09-10,2025-09-10,1,1,OFICIAL,,,,,,,,,,,,ARF-83,,,,,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1410617250707,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
AR-P09-3,Expediente ARF-88,,,Zaragoza,Zaragoza,,2026-03-20,2026-03-20,1,1,OFICIAL,,,,,,89.0,,,,,,ARF-88,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1440637170404,,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
CB-P01-2,Expediente CBF-01,,,Cantabria,Santander,,2023-02-01,2023-02-01,1,1,OFICIAL,,,,,,,,,,,,CBF-01,,,,,https://boc.cantabria.es/boces/verAnuncioAction.do?idAnuBlob=384810,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
