id_proyecto,proyecto,grupo,promotor_razon_social,provincia,municipios,situacion,primer_tramite,ultimo_tramite,n_tramites,n_tramites_oficiales,fiabilidad_maxima,potencia_electrica_mw,potencia_informatica_mw,potencia_transformacion_mva,detalle_potencia,nudo_de_conexion,superficie_ha,superficie_construida_m2,inversion_expediente_meur,inversion_anunciada_meur,origen_inversion,pem_electrico_eur,ids_expedientes,doc_urbanistico,doc_ambiental,doc_electrico,doc_interes_autonomico,doc_municipal,doc_patrimonial,notas,potencia_demanda_mva,expedientes_enlazados
EX-P04,Merlin Edged - Navalmoral de la Mata,,"Merlin Edged, SL",Cáceres,Navalmoral de la Mata,,2026-05-22,2026-05-22,1,1,OFICIAL,,192.0,,"Informatica: 192 MW IT declarados (el documento da tambien 96, 12), segun EXTREMAMBIENTE_AAI25-032_Resumen-no-tecnico_Merlin-Edged_Navalmoral.pdf",,,206753.0,,,,,EXF-04,,https://doe.juntaex.es/pdfs/doe/2026/970o/970o.pdf,,,,,Agrupacion de confianza baja: misma sociedad (denominacion),,1
AR-P18,Merlin Properties - Botorrita,,"Merlin Properties, SOCIMI",Zaragoza,Botorrita,,2026-08-14,2026-08-14,1,1,OFICIAL,,,,,,28.8,,,,,,ARF-68,,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1462255950606,,,,,Agrupacion de confianza baja: misma sociedad (denominacion); misma sociedad que un bloque ya revisado,,1
MA-P05,"Merlin Properties - Getafe, Madrid",,"Merlin Properties, SOCIMI",Madrid,Getafe; Madrid,En tramitacion,2025-06-04,2026-03-05,3,3,OFICIAL,,,40.0,,,,,0.70107669,,,701076.69,MA-08; MA-11; MA-12,,,https://bocm.es/boletin/CM_Orden_BOCM/2025/06/04/BOCM-20250604-46.PDF,,,https://bocm.es/boletin/CM_Orden_BOCM/2026/03/23/BOCM-20260323-50.PDF,Agrupacion de confianza media: misma sociedad (denominacion); 2 municipios. Transformacion leida del expediente: 40 MVA,,3
PV-P01,"Merlín Logística - Ribabellosa, Zierbena",,"Merlín Logística, SLU",Bizkaia,Ribabellosa; Zierbena,,2023-12-22,2026-02-20,3,3,OFICIAL,,,,,,,23566.0,,,,,PVF-01; PVF-02; PVF-05,,https://www.euskadi.eus/y22-bopv/es/bopv2/datos/2023/12/2305689a.pdf,,,,,Agrupacion de confianza baja: misma sociedad (NIF B87046314); 2 municipios,,3
AR-P01-4,"Microsoft 7724 Spain - La Muela, Villamayor de Gállego",,Microsoft 7724 Spain,Zaragoza,La Muela; Villamayor de Gállego,,2025-05-16,2025-05-28,2,2,OFICIAL,,,,,,,,,,,,ARF-90; ARF-91,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1393594921515,,,,,,Agrupacion de confianza baja: misma sociedad (denominacion); 2 municipios; misma sociedad que un bloque ya revisado,,2
AR-P06-2,"Microsoft 7724 Spain - La Muela, Villamayor de Gállego, Zaragoza",,Microsoft 7724 Spain,Zaragoza,La Muela; Villamayor de Gállego; Zaragoza,,2024-01-09,2026-07-30,7,7,OFICIAL,,,,,,330.0,1468780.0,,,,,ARF-14; ARF-15; ARF-18; ARF-25; ARF-38; ARF-39; ARF-64,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1311667640606,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1343967440606,,,,,Agrupacion de confianza baja: misma sociedad (denominacion); 3 municipios; misma sociedad que un bloque ya revisado,,7
AR-P08-3,"Microsoft 7724 Spain - Villamayor de Gállego, Zaragoza",,Microsoft 7724 Spain,Zaragoza,Villamayor de Gállego; Zaragoza,,2026-01-13,2026-01-13,2,2,OFICIAL,,,,,,,,,,,,ARF-86; ARF-87,,,,,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1430277690505,,Agrupacion de confianza baja: misma sociedad (denominacion); 2 municipios; misma sociedad que un bloque ya revisado,,2
PV-P04,Moana Data - Zamudio,,"Moana Data, SL",Bizkaia,Zamudio,,2026-05-22,2026-05-22,1,1,OFICIAL,,,,,,,21423.72,,,,,PVF-06,,https://www.euskadi.eus/y22-bopv/es/bopv2/datos/2026/05/2602178a.pdf,,,,,Agrupacion de confianza baja: misma sociedad (NIF B70639505),,1
AR-P15,"Molinos del Ebro - Pedrola, Plasencia de Jalón, Rueda de Jalón",,"Molinos del Ebro, SA",Zaragoza,Pedrola; Plasencia de Jalón; Rueda de Jalón,,2026-02-25,2026-02-25,3,3,OFICIAL,,,,,,,,,,,,ARF-54; ARF-55; ARF-56,,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1437370210707,,,,,Agrupacion de confianza baja: misma sociedad (denominacion); 3 municipios,,3
AR-P05-3,Máquina Solar - Villamayor de Gállego,,"Máquina Solar, SL",Zaragoza,Villamayor de Gállego,,2025-04-03,2026-03-20,2,2,OFICIAL,,,,,,79.6,,,,,,ARF-80; ARF-89,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1440653330505,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1386839262121,,,,,Agrupacion de confianza baja: misma sociedad (denominacion),,2
NC-P01,NASERTIC - Pamplona,,NASERTIC,Navarra,Pamplona,,2023-12-28,2023-12-28,1,1,OFICIAL,,,,,,,,,,,,NC-02,,,,,,,Agrupacion de confianza baja: misma sociedad (denominacion),,1
CB-P03,"PSIR del Parque Empresarial VIPAR, AIEP Pielagos-Villaescusa (poligono en el que, segun la nota oficial de 25-02-2025, se situa la fase 1 del campus Altamira)",,,Cantabria,Pielagos; Villaescusa,En tramitacion; no se ha localizado en el BOC aprobacion inicial ni definitiva a 02-09-2026; tampoco figura en la lista de PSIR de territoriodecantabria.es,2023-03-30,2023-03-30,1,1,OFICIAL,,,,,,,,,,,,CB-03,https://boc.cantabria.es/boces/verAnuncioAction.do?idAnuBlob=385088,,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
MA-P16,Plan Especial de Infraestructuras del centro de proceso de datos de Daganzo,,,Madrid,Daganzo de Arriba,Publicado,2026-02-06,2026-02-06,1,1,OFICIAL,,,,,,,,,,,,MA-29,https://www.comunidad.madrid/medio-ambiente/evaluacion-ambiental-estrategica,,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
MA-P17,"Plan Especial de Mejora Urbana Las Hilanderas, P.I. de Los Angeles",,,Madrid,Getafe,Plazo finalizado,2025-02-26,2025-02-26,1,1,OFICIAL,,,,,,,,,,,,MA-30,https://www.comunidad.madrid/transparencia/sia-25020-plan-especial-mejora-urbana-hilanderas-poligono-industrial-angeles-getafe,,,,,,Agrupacion de confianza baja: promotor no identificado: no se ha podido agrupar,,1
RE-P01,Promoción y Desarrollo de Data Centers - Caravaca de la Cruz,,"Promoción y Desarrollo de Data Centers, SL",Murcia,Caravaca de la Cruz,,2026-06-24,2026-06-24,1,1,OFICIAL,,,,,,,,1.5254198300000001,,,1525419.83,MCF-01,,https://www.borm.es/services/anuncio/ano/2026/numero/3020/pdf,,,,,Agrupacion de confianza baja: misma sociedad (denominacion),,1
MA-P04,"Red Electrica de Espana - Alcala de Henares, Anchuelo, Los Santos de la Humosa",,"Red Electrica de Espana, SAU",Madrid,Alcala de Henares; Anchuelo; Los Santos de la Humosa; Meco,Autorizada,2026-05-07,2026-05-07,2,2,OFICIAL,,,,,,,,7.862946030000001,,,7862946.03,MA-06; MA-07,,,https://www.bocm.es/boletin/CM_Orden_BOCM/2026/01/19/BOCM-20260119-29.PDF,,,,Agrupacion de confianza baja: misma sociedad (denominacion); 4 municipios,,2
CM-P02,Red Electrica de Espana - Calera y Chozas,,"Red Electrica de Espana, SAU",Toledo,Calera y Chozas,Autorizada,2026-04-27,2026-04-27,1,1,OFICIAL,,,,,Calera y Chozas 220 kV,,,0.367085,,,367085.0,CLM-12,,,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2026-9171,,,,,,1
AN-P01,Saltburn Holding - Málaga,,"Saltburn Holding, SL",Málaga,Málaga,,2026-06-02,2026-06-02,2,2,OFICIAL,,,,,,,47629.4,,,,,ANF-01; ANF-02,https://www.juntadeandalucia.es/boja/2026/104/37,,,,,,Agrupacion de confianza baja: misma sociedad (denominacion),,2
CB-P05,Santander Global Services - Medio Cudeyo (Solares),,"Santander Global Services, SL",Cantabria,Medio Cudeyo (Solares),"Autorizada por Resolucion de 07-08-2023 (BOC num. 159 de 18-08-2023, CVE-2023-7260); plazo de ejecucion de 24 meses; autorizacion de explotacion no localizada",2023-05-12,2023-05-12,1,1,OFICIAL,,,4.0,"potencia_mw se deja vacio deliberadamente: los 3 MWn / 3,207 MWp son potencia de GENERACION fotovoltaica para autoconsumo, no demanda del centro de datos, y no deben sumarse a la columna de potencia",,,,2.94953778,,,2949537.78,CB-05,,,https://boc.cantabria.es/boces/verAnuncioAction.do?idAnuBlob=388802,,,,Transformacion leida del expediente: 4 x 1 MVA,,1
CA-P01,Skygrid Data Systems - Aguilar de Campoo,,"Skygrid Data Systems, SL",Palencia,Aguilar de Campoo,,2026-06-04,2026-06-04,1,1,OFICIAL,,,,,,,,,,,,CLF-01,https://bocyl.jcyl.es/boletines/2026/06/04/pdf/BOCYL-D-04062026-106-44.pdf,,,,,,Agrupacion de confianza baja: misma sociedad (denominacion),,1
AR-P07-3,Sociedad Anónima Minera Catalano- Aragonesa - Luceni,,Sociedad Anónima Minera Catalano- Aragonesa,Zaragoza,Luceni,,2025-09-15,2025-12-26,2,2,OFICIAL,,,,,,,,,,,,ARF-84; ARF-85,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1411196680707,,,,,,Agrupacion de confianza baja: misma sociedad (denominacion); misma sociedad que un bloque ya revisado,,2
AR-P14,Sociedad Anónima Minera Catalano-Aragonesa - Luceni,,Sociedad Anónima Minera Catalano- Aragonesa,Zaragoza,Luceni,,2025-12-30,2025-12-30,2,2,OFICIAL,,,,,,,4087850.0,,,,,ARF-50; ARF-51,,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1428682970505,,,,,Agrupacion de confianza baja: misma sociedad (denominacion),,2
AR-P07-2,Suelo y Vivienda de Aragón - Villanueva de Gállego,,"Suelo y Vivienda de Aragón, SLU",Zaragoza,Villanueva de Gállego,,2024-05-17,2024-05-17,1,1,OFICIAL,,,,,,,648623.59,,,,,ARF-16,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1332593181010,,,,,,Agrupacion de confianza baja: misma sociedad (denominacion),,1
CB-P04,Telxius Cable Espana - Santander,,"Telxius Cable Espana, SL",Cantabria,Santander,Informacion publica (anuncio del Ayuntamiento de Santander de 16-01-2023); resolucion de la licencia no localizada en el BOC,2023-02-01,2023-02-01,1,1,OFICIAL,,,,,,,,,,,,CB-04,,,,,https://boc.cantabria.es/boces/verAnuncioAction.do?idAnuBlob=384810,,,,1
AR-P02-4,Tillion Aragón - Villamayor de Gállego,,Tillion Aragón,Zaragoza,Villamayor de Gállego,,2026-02-17,2026-02-17,1,1,OFICIAL,,,,,,,,,,,,ARF-92,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1436132300707,,,,,,Agrupacion de confianza baja: misma sociedad (denominacion); misma sociedad que un bloque ya revisado,,1
AR-P16,Tillion Aragón - Villamayor de Gállego,,Tillion Aragón,Zaragoza,Villamayor de Gállego,,2026-07-07,2026-07-07,2,2,OFICIAL,,,,,,,799072.63,,,,,ARF-60; ARF-62,,https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1456133040707,,,,,Agrupacion de confianza baja: misma sociedad (denominacion),,2
CB-P02,"XDC North Coast - Pielagos, Villaescusa",,"XDC North Coast, SL",Cantabria,Pielagos; Villaescusa,"Compraventa formalizada (9.492.450 EUR, IVA incluido); unica oferta presentada",2025-07-04,2025-07-04,1,0,OFICIAL-NP,,,,,imputa a inversion_meur,37.4572,,,,,,CB-02,,,,,,https://www.cantabria.es/web/gobierno/detalle/-/journal_content/56_INSTANCE_DETALLE/16413/88367694,Agrupacion de confianza media: misma sociedad (denominacion); 2 municipios,,1
